dispatch_date,order_id,customer_id,product_type,quantity,batch_ref,vehicle_number,driver_name,transporter,invoice_no,eway_bill_no,freight_inr,delivery_status,delivery_date,remarks
2023-06-25,D-1965,OEM-TVS,ABS Sensor Ring,1479,BATCH-2024-0041,MH04-9854,Pradeep Jadhav,Delhivery,INV-717746,EWB493717418503,15459.68,Delivered,28-01-2024,POD pending
16-Jul-2023,D-3106,OEM-HYUNDAI,CV Joint,1311,BATCH-2022-0077,MH04-7473,Vijay Chavan,Gati Ltd,INV-673272,EWB640967763986,14724.91,Delivered,22-Apr-2021,Customer not available
06/25/2021,D-3054,OEM-FORD,Brake Shoe,1450,BATCH-2021-0259,KA01-5811,Deepak More,,INV-100303,EWB125790228590,3797.71,In Transit,10/14/2023,Customer not available
2024-05-09,D-2223,OEM-FORD,Brake Shoe,1671,BATCH-2022-0018,MH12-6710,Vijay Chavan,Gati Ltd,INV-500969,EWB507467688019,1623.95,In Transit,2024-08-25,Short delivery – balance next trip
2023-12-04,D-2197,OEM-FORD,ABS Sensor Ring,171,BATCH-2021-0415,MH14-1535,Deepak More,Delhivery,INV-880982,EWB976655233496,14729.17,Delivered,2023-12-04,Customer not available
2023-07-17,D-2022,OEM-FORD,Wheel Hub Assy,1074,BATCH-2022-0434,MH12-6896,Deepak More,VRL Logistics,INV-873663,EWB181283422525,15413.2,Delayed,20-08-2024,Returned – wrong address
2023-09-25,D-2069,OEM-MAHINDRA,Wheel Hub Assy,1756,BATCH-2022-0212,MH14-7084,Satish Bhosale,Mahindra Logistics,INV-277296,EWB404221284510,10253.08,Delivered,26-02-2022,On time
2023-12-14,D-3615,OEM-RENAULT,Drum Brake Assy,911,BATCH-2024-0048,MH14-1123,Ravi Kumar,Mahindra Logistics,INV-975870,EWB363804707872,18607.14,Delivered,28-Nov-2021,Customer requested reschedule
12/19/2022,D-1598,OEM-TATA,ABS Sensor Ring,451,BATCH-2022-0149,MH13-7560,Rahul Sharma,Self-transport,INV-313076,EWB633187497742,,In Transit,10/12/2024,Delayed – vehicle breakdown
2021-06-02,D-2974,OEM-SUZUKI,Brake Disc,90,BATCH-2021-0136,MH12-5134,,Self-transport,INV-919978,EWB332361856401,21926.82,Delayed,2024-03-03,Short delivery – balance next trip
2024-10-22,D-2567,OEM-HYUNDAI,Brake Shoe,1452,BATCH-2022-0101,MH04-6372,Deepak More,Mahindra Logistics,INV-235847,EWB750891537474,2105.05,Delivered,,Customer requested reschedule
2022-01-11,D-4088,OEM-BAJAJ,ABS Sensor Ring,848,BATCH-2024-0161,TN07-7818,Suresh Patil,Mahindra Logistics,,EWB658277377568,7939.39,Delivered,08/13/2023,Short delivery – balance next trip
2022-10-04,D-3916,OEM-MARUTI,Drum Brake Assy,605,BATCH-2021-0243,TN07-7902,Ganesh Waghmare,Mahindra Logistics,INV-255612,EWB784374372637,19532.75,Delivered,23/07/2023,Returned – wrong address
2021-03-01,D-2914,OEM-MARUTI,Brake Shoe,1984,BATCH-2023-0376,MH04-9945,Amit Singh,BlueDart,INV-614699,EWB349957252564,9111.85,In Transit,05/30/2022,Customer requested reschedule
15-Jun-2024,D-1697,OEM-MAHINDRA,Brake Shoe,892,BATCH-2024-0063,MH13-9485,Amit Singh,VRL Logistics,INV-617228,EWB727383104766,5394.04,Delivered,13-Oct-2024,Returned – wrong address
2021-04-06,D-3339,OEM-FORD,Wheel Hub Assy,1746,BATCH-2023-0208,MH10-8398,Suresh Patil,Mahindra Logistics,INV-192854,,13682.45,,2024-04-29,Returned – wrong address
29-09-2021,D-1525,OEM-RENAULT,Disc Brake Caliper,1072,BATCH-2021-0430,MH14-9467,Ravi Kumar,BlueDart,INV-243528,EWB927503597102,2514.36,Delivered,03-Nov-2023,Short delivery – balance next trip
2023-01-16,D-1177,OEM-SUZUKI,Brake Disc,1223,BATCH-2023-0160,TN07-2174,Nitin Sawant,Gati Ltd,INV-914370,EWB531277813805,11792.56,Delayed,30/03/2024,Delayed – vehicle breakdown
04/13/2022,D-2778,OEM-SUZUKI,Brake Shoe,1107,BATCH-2023-0056,GJ01-2344,Ravi Kumar,Mahindra Logistics,INV-578103,EWB726396834222,13048.33,Delivered,06/12/2023,Returned – wrong address
2023-10-26,D-3620,OEM-SUZUKI,Brake Pad Type B,1016,BATCH-2021-0117,MH12-7552,Ravi Kumar,TCI Express,INV-471901,EWB126199543155,20500.58,Delivered,05/11/2024,Delayed – vehicle breakdown
2024-11-08,D-1408,OEM-TVS,Wheel Hub Assy,876,BATCH-2022-0120,GJ01-5185,Vijay Chavan,,,EWB580983984108,1376.13,Delivered,2022-08-02,Short delivery – balance next trip
2023-09-21,D-3179,OEM-MAHINDRA,Brake Pad Type B,420,BATCH-2021-0186,MH04-6557,Deepak More,TCI Express,INV-583621,,1393.02,Partial,06-Jan-2021,Customer requested reschedule
2024-12-25,D-1044,OEM-HONDA,Brake Pad Type B,1980,BATCH-2024-0238,MH04-8840,,VRL Logistics,INV-789220,EWB117003728945,7164.42,Delivered,03-03-2021,
2024-08-13,D-2485,OEM-TVS,Drum Brake Assy,1281,BATCH-2021-0314,TN07-1580,Rahul Sharma,VRL Logistics,INV-500245,EWB450224453442,15156.77,Delivered,03/03/2021,On time
28-Feb-2021,D-1805,OEM-MAHINDRA,Brake Pad Type B,967,BATCH-2021-0093,MH10-1272,Satish Bhosale,BlueDart,INV-160295,EWB241556813112,12375.3,,10-11-2022,Short delivery – balance next trip
2024-10-17,D-3584,OEM-MAHINDRA,Disc Brake Caliper,1899,BATCH-2022-0111,MH10-9616,Pradeep Jadhav,VRL Logistics,INV-624864,EWB235813942311,14789.76,Delivered,18/03/2023,POD pending
01-12-2021,D-3157,OEM-TATA,Brake Disc,916,BATCH-2022-0067,TN07-7991,Suresh Patil,BlueDart,INV-970002,EWB896663700067,20078.74,Delayed,22-Oct-2023,Short delivery – balance next trip
2023-02-21,D-3060,OEM-TATA,Brake Disc,489,BATCH-2022-0484,KA01-4863,Ganesh Waghmare,BlueDart,INV-162039,EWB836670070399,8306.02,Delivered,10/28/2024,On time
2022-12-07,D-1504,OEM-MARUTI,Wheel Hub Assy,1916,BATCH-2024-0330,MH10-4174,Amit Singh,BlueDart,INV-741520,EWB467934199103,8107.61,Delivered,2022-06-06,Customer requested reschedule
2021-03-16,D-1048,OEM-BAJAJ,Brake Pad Type A,537,BATCH-2024-0332,KA01-6023,Suresh Patil,BlueDart,INV-532865,EWB866444962371,11523.17,Delivered,25/05/2022,On time
2024-11-19,D-1146,OEM-TATA,ABS Sensor Ring,495,BATCH-2022-0468,MH14-4997,Ganesh Waghmare,BlueDart,INV-138958,EWB372450820545,21562.35,Delivered,19-02-2024,Returned – wrong address
2023-05-25,D-2302,OEM-HONDA,CV Joint,1150,BATCH-2024-0342,MH04-8070,Amit Singh,Self-transport,INV-183817,EWB115812252164,12330.43,Delivered,,Short delivery – balance next trip
2021-05-15,D-4490,OEM-TATA,Clutch Plate,90,BATCH-2024-0352,MH10-7283,Suresh Patil,Gati Ltd,INV-482964,EWB935616726873,17730.7,Partial,03-03-2023,
28/03/2024,D-1231,OEM-HONDA,Drum Brake Assy,1176,BATCH-2021-0080,KA01-1171,Amit Singh,VRL Logistics,INV-717505,EWB334964393934,2054.61,Delivered,06-11-2023,Delayed – vehicle breakdown
2022-03-07,D-2713,OEM-TATA,Brake Shoe,1428,BATCH-2024-0048,GJ01-1211,Ravi Kumar,,INV-321361,EWB333701638036,19957.49,,06/17/2022,Returned – wrong address
11/10/2022,D-1337,OEM-MARUTI,Clutch Plate,1961,BATCH-2021-0257,MH12-1016,Satish Bhosale,BlueDart,INV-452427,EWB633058518923,7369.22,In Transit,30/08/2023,
2023-01-09,D-3567,OEM-MARUTI,Wheel Hub Assy,1602,BATCH-2023-0223,TN07-8423,Nitin Sawant,Gati Ltd,INV-218437,EWB824312135655,9944.15,Delivered,,Customer not available
2021-05-07,D-2330,OEM-TVS,Wheel Hub Assy,1980,BATCH-2022-0375,MH04-6961,Ravi Kumar,VRL Logistics,INV-787268,EWB707945144087,17919.51,Delivered,12/10/2024,Customer not available
18-09-2022,D-3428,OEM-HONDA,Brake Disc,812,BATCH-2021-0457,MH12-1500,Nitin Sawant,Mahindra Logistics,INV-297112,EWB351304396731,3805.33,Delivered,,POD pending
2022-06-18,D-1038,OEM-TATA,Brake Pad Type B,1795,BATCH-2022-0467,MH13-8261,Satish Bhosale,VRL Logistics,INV-716853,EWB702346893962,17595.99,Delivered,07/03/2023,POD pending
2023-06-21,D-4376,OEM-BAJAJ,Brake Shoe,625,BATCH-2021-0074,MH13-8410,Satish Bhosale,BlueDart,INV-904707,EWB206828978150,21281.75,Delivered,31/12/2024,On time
2024-12-30,D-3376,OEM-BAJAJ,Brake Pad Type B,1153,BATCH-2022-0164,MH14-7900,Suresh Patil,VRL Logistics,INV-519366,EWB887800248479,22362.27,In Transit,23-May-2024,Returned – wrong address
12-Jun-2024,D-1310,OEM-TATA,Brake Pad Type B,1930,BATCH-2021-0093,GJ01-2658,,Self-transport,INV-720068,EWB105511387406,7673.02,Delivered,08/08/2023,Delayed – vehicle breakdown
2021-03-22,D-3503,OEM-TVS,CV Joint,1460,BATCH-2021-0015,MH04-3566,Vijay Chavan,,INV-655701,EWB478168466519,10469.05,Delivered,09/20/2023,Customer requested reschedule
08-01-2022,D-3734,OEM-TVS,Wheel Hub Assy,1481,BATCH-2021-0020,MH12-6553,Ganesh Waghmare,BlueDart,INV-888796,EWB755737865684,12763.61,Delivered,,
2022-02-03,D-4236,OEM-SUZUKI,Clutch Plate,1899,BATCH-2023-0207,MH12-2695,Deepak More,Safexpress,INV-672475,EWB414445102119,5526.26,Partial,23/11/2023,
2023-08-04,D-3737,OEM-HYUNDAI,Disc Brake Caliper,1310,BATCH-2024-0406,KA01-7007,Ravi Kumar,,INV-972216,EWB815784216430,24814.06,Delivered,02-07-2022,POD pending
2021-11-21,D-2293,OEM-MARUTI,ABS Sensor Ring,1513,BATCH-2024-0126,MH14-2239,Amit Singh,Gati Ltd,INV-379212,EWB945570281350,6313.95,Delivered,01-04-2021,Short delivery – balance next trip
22/05/2022,D-1852,OEM-SUZUKI,Brake Shoe,930,BATCH-2023-0450,GJ01-3628,Ganesh Waghmare,BlueDart,INV-674927,EWB742757340432,6164.48,,2024-10-31,Customer not available
2022-11-18,D-3439,OEM-MAHINDRA,CV Joint,1209,BATCH-2024-0219,MH14-7632,Ganesh Waghmare,Self-transport,INV-253838,EWB290953701479,2277.01,Delivered,09/16/2021,POD pending
01-Jun-2022,D-4137,OEM-RENAULT,ABS Sensor Ring,242,BATCH-2023-0496,TN07-5466,Vijay Chavan,TCI Express,INV-866636,EWB778710416660,9620.84,Delivered,11-12-2024,On time
2024-07-17,D-3318,OEM-BAJAJ,Brake Shoe,1565,BATCH-2022-0073,MH13-5627,Ganesh Waghmare,BlueDart,INV-732435,EWB598485106040,23898.8,Delivered,09/03/2023,POD pending
2022-02-26,D-2495,OEM-TVS,CV Joint,1761,BATCH-2023-0258,MH13-1458,Vijay Chavan,,INV-320739,,12282.31,In Transit,08/10/2021,On time
2023-11-26,D-3844,OEM-FORD,Brake Shoe,1921,BATCH-2022-0074,MH12-8118,Satish Bhosale,TCI Express,INV-591020,EWB142641034875,5197.49,Delivered,12-Jul-2024,On time
2024-12-04,D-2268,OEM-TVS,Wheel Hub Assy,861,BATCH-2024-0457,GJ01-1163,Suresh Patil,Gati Ltd,INV-500347,EWB975538733948,,Delivered,03/23/2021,Short delivery – balance next trip
04/20/2024,D-2909,OEM-HYUNDAI,CV Joint,1175,BATCH-2024-0457,KA01-9724,Ganesh Waghmare,BlueDart,INV-251928,EWB674964093488,16731.97,Delivered,2023-08-28,Customer not available
2024-12-24,D-1167,OEM-TATA,Drum Brake Assy,429,BATCH-2024-0439,KA01-8378,Suresh Patil,Self-transport,INV-707132,EWB847443255967,3226.43,Delayed,,Delayed – vehicle breakdown
2021-11-01,D-2530,OEM-TATA,Wheel Hub Assy,1601,BATCH-2021-0029,GJ01-4280,Rahul Sharma,BlueDart,INV-210560,EWB635688650527,23267.18,Delayed,29/09/2022,Short delivery – balance next trip
03/10/2021,D-1212,OEM-MAHINDRA,Wheel Hub Assy,1648,BATCH-2024-0058,MH04-6984,Rahul Sharma,Gati Ltd,INV-561928,,13409.43,,07/10/2024,Customer requested reschedule
2023-08-31,D-1581,OEM-HONDA,Wheel Hub Assy,190,BATCH-2024-0315,MH04-8332,Vijay Chavan,Mahindra Logistics,INV-413793,EWB817474091552,16592.95,In Transit,12-10-2024,
2022-07-17,D-3957,OEM-TATA,Disc Brake Caliper,229,BATCH-2024-0301,TN07-9989,Vijay Chavan,Self-transport,INV-279368,EWB636837433096,3115.42,Delayed,04-Sep-2022,Delayed – vehicle breakdown
2021-11-01,D-2195,OEM-TATA,CV Joint,1165,BATCH-2021-0231,MH12-6296,Ganesh Waghmare,Safexpress,INV-540189,EWB292882353737,24253.57,In Transit,,Short delivery – balance next trip
2023-09-30,D-1435,OEM-FORD,CV Joint,1308,BATCH-2021-0467,MH10-3325,Ganesh Waghmare,BlueDart,INV-249005,EWB211171852922,3287.06,Delayed,09/02/2023,On time
10/01/2021,D-3151,OEM-MARUTI,Wheel Hub Assy,1785,BATCH-2021-0366,TN07-8991,Deepak More,VRL Logistics,,EWB757501814512,,Delivered,19/08/2021,Delayed – vehicle breakdown
2024-09-21,D-1315,OEM-TATA,Clutch Plate,919,BATCH-2021-0444,TN07-2939,Ravi Kumar,Delhivery,INV-879950,EWB629090065083,21693.2,Delivered,11/25/2021,Customer not available
2024-07-16,D-4081,OEM-SUZUKI,Clutch Plate,270,BATCH-2022-0111,MH14-6375,Satish Bhosale,Mahindra Logistics,INV-779064,,2947.42,Delivered,2021-04-26,On time
10/13/2024,D-2158,OEM-SUZUKI,Clutch Plate,91,BATCH-2022-0128,GJ01-1552,Nitin Sawant,TCI Express,INV-900771,EWB182607779313,17228.34,Delivered,2022-04-09,On time
2023-09-19,D-2185,OEM-TATA,Wheel Hub Assy,1778,BATCH-2022-0292,MH10-9528,Satish Bhosale,Self-transport,INV-618211,EWB201037265820,1724.29,In Transit,02/07/2022,Customer requested reschedule
06/23/2024,D-4140,OEM-SUZUKI,Clutch Plate,1153,BATCH-2022-0055,MH10-1053,Suresh Patil,Gati Ltd,,EWB706544063876,5540.9,Delivered,02/14/2021,Delayed – vehicle breakdown
2023-12-09,D-4360,OEM-FORD,Brake Pad Type A,308,BATCH-2022-0110,MH04-9349,Nitin Sawant,BlueDart,INV-922251,EWB834908242858,3374.61,Delivered,03/13/2021,Delayed – vehicle breakdown
2021-01-31,D-2601,OEM-BAJAJ,CV Joint,1617,BATCH-2022-0074,MH12-7129,Suresh Patil,TCI Express,INV-123351,EWB656646737134,12064.36,Returned,,Customer requested reschedule
13/09/2021,D-3893,OEM-SUZUKI,Brake Pad Type B,1325,BATCH-2022-0234,GJ01-6377,Pradeep Jadhav,VRL Logistics,INV-152889,EWB490506063295,23058.36,Delivered,25/05/2022,POD pending
23/02/2022,D-4436,OEM-FORD,Brake Pad Type B,1804,BATCH-2021-0107,MH12-2728,Amit Singh,TCI Express,INV-649765,EWB401999727018,8738.1,Delivered,02-Oct-2022,POD pending
2021-01-08,D-1072,OEM-RENAULT,Wheel Hub Assy,1743,BATCH-2023-0071,KA01-1918,Ravi Kumar,Delhivery,INV-113969,EWB647292518729,16151.95,In Transit,07-06-2024,Delayed – vehicle breakdown
2022-01-07,D-1079,OEM-MAHINDRA,Wheel Hub Assy,768,BATCH-2024-0474,MH13-9287,Pradeep Jadhav,Mahindra Logistics,INV-294049,EWB848730081626,14526.07,,26/03/2023,Customer requested reschedule
2021-09-10,D-2398,OEM-MAHINDRA,Brake Shoe,1532,BATCH-2022-0073,MH14-1127,Rahul Sharma,BlueDart,INV-957277,EWB552740307397,5936.5,Partial,21/07/2021,POD pending
2024-01-24,D-2981,OEM-TVS,CV Joint,1632,BATCH-2021-0379,MH10-1864,Nitin Sawant,Mahindra Logistics,,EWB695389581881,20956.8,,09-05-2021,Short delivery – balance next trip
2022-08-29,D-3470,OEM-MARUTI,Disc Brake Caliper,194,BATCH-2021-0093,KA01-5276,Deepak More,TCI Express,INV-835234,EWB285568838645,7456.7,Delivered,20-Sep-2023,Returned – wrong address
2023-05-11,D-2972,OEM-RENAULT,Brake Pad Type B,1058,BATCH-2021-0275,MH13-5439,Pradeep Jadhav,TCI Express,INV-514863,EWB475628213075,19078.44,Delivered,05/13/2022,POD pending
03-Mar-2021,D-3025,OEM-HONDA,Brake Pad Type B,927,BATCH-2022-0131,MH10-5890,Ravi Kumar,Delhivery,INV-835668,EWB496863570575,13279.09,Delivered,12/13/2024,POD pending
2022-03-13,D-3179,OEM-HYUNDAI,Brake Disc,1964,BATCH-2023-0265,MH13-4110,Deepak More,BlueDart,INV-806693,EWB925139960050,6789.01,,06-Feb-2022,Returned – wrong address
16/04/2024,D-3907,OEM-HYUNDAI,ABS Sensor Ring,362,BATCH-2021-0376,MH14-1676,Vijay Chavan,Self-transport,INV-112662,EWB686989150983,21225.57,Returned,19/02/2023,Customer requested reschedule
24-03-2021,D-1416,OEM-SUZUKI,Disc Brake Caliper,1189,BATCH-2022-0099,MH12-9230,Ganesh Waghmare,BlueDart,INV-207157,EWB797526863340,8473.45,In Transit,2022-01-17,
2021-03-29,D-4197,OEM-HYUNDAI,Disc Brake Caliper,752,BATCH-2024-0434,GJ01-4444,Nitin Sawant,,INV-790206,EWB804622223898,13043.56,Delivered,21-12-2023,Customer requested reschedule
04/21/2024,D-2430,OEM-HONDA,Brake Disc,1069,BATCH-2021-0499,TN07-9081,Ravi Kumar,BlueDart,INV-684301,EWB983003763112,23584.84,,22-Dec-2023,Short delivery – balance next trip
2022-09-19,D-3174,OEM-RENAULT,Wheel Hub Assy,858,BATCH-2024-0438,GJ01-9544,Rahul Sharma,Delhivery,INV-714065,EWB161763392559,10459.7,Delayed,18-11-2024,Delayed – vehicle breakdown
2023-11-23,D-2280,OEM-HYUNDAI,Brake Pad Type B,468,BATCH-2022-0148,GJ01-5935,,BlueDart,INV-519375,EWB738735727861,8676.45,,01/11/2021,Returned – wrong address
2023-08-09,D-4280,OEM-SUZUKI,CV Joint,1831,BATCH-2021-0274,MH13-9464,Pradeep Jadhav,VRL Logistics,INV-839989,EWB290194082828,7182.77,Delivered,15-06-2022,Returned – wrong address
2023-09-15,D-2826,OEM-TATA,Brake Pad Type B,890,BATCH-2023-0314,MH10-9540,Rahul Sharma,TCI Express,INV-545645,EWB774745792787,22915.53,Delivered,2021-04-28,Returned – wrong address
2023-05-28,D-2191,OEM-HYUNDAI,Wheel Hub Assy,553,BATCH-2022-0106,KA01-7252,Vijay Chavan,Safexpress,INV-481004,EWB722992000140,10624.0,Delayed,17-01-2023,Short delivery – balance next trip
2021-11-05,D-1742,OEM-MARUTI,CV Joint,80,BATCH-2024-0480,GJ01-9938,,Mahindra Logistics,INV-403515,EWB627084304154,21280.65,Delivered,03/31/2022,Returned – wrong address
2022-04-08,D-2766,OEM-HONDA,Brake Pad Type B,1402,BATCH-2021-0039,TN07-1535,Rahul Sharma,BlueDart,INV-786920,EWB350525864666,7544.45,Delivered,05-Oct-2022,Customer not available
2023-12-29,D-1630,OEM-TVS,Disc Brake Caliper,501,BATCH-2024-0421,MH13-1545,Rahul Sharma,VRL Logistics,,EWB407353383425,13559.66,Delivered,,Delayed – vehicle breakdown
07/07/2021,D-2094,OEM-BAJAJ,Brake Pad Type B,1853,BATCH-2021-0407,TN07-1934,Nitin Sawant,Mahindra Logistics,INV-364040,EWB393771015190,23680.91,In Transit,12/31/2022,POD pending
19-11-2021,D-3261,OEM-SUZUKI,Brake Pad Type B,1200,BATCH-2023-0310,MH04-1835,Satish Bhosale,TCI Express,INV-641199,EWB701130868400,20546.86,Delivered,23-May-2024,On time
2023-03-26,D-4311,OEM-MAHINDRA,Disc Brake Caliper,809,BATCH-2022-0420,TN07-4959,Suresh Patil,Gati Ltd,INV-112730,EWB610406982737,3623.83,Delivered,24-05-2023,On time
2021-07-29,D-2619,OEM-RENAULT,Drum Brake Assy,267,BATCH-2022-0031,MH04-5835,Amit Singh,VRL Logistics,INV-372633,EWB661153623188,1606.38,Delivered,,Customer not available
2022-04-27,D-2091,OEM-HYUNDAI,Brake Shoe,1060,BATCH-2024-0252,MH14-7855,Deepak More,Mahindra Logistics,INV-676877,EWB162729490412,22793.6,In Transit,06/22/2024,On time
2022-10-25,D-1236,OEM-MARUTI,CV Joint,823,BATCH-2023-0274,TN07-1349,Rahul Sharma,VRL Logistics,INV-818854,EWB556187669999,2335.36,Delivered,29-Jul-2023,Returned – wrong address
2024-10-13,D-2234,OEM-FORD,ABS Sensor Ring,1268,BATCH-2023-0342,TN07-1939,Vijay Chavan,TCI Express,INV-259733,EWB166754625201,4675.91,Delivered,08-Jan-2024,Returned – wrong address
2023-12-25,D-2622,OEM-HYUNDAI,CV Joint,1165,BATCH-2022-0246,MH04-3761,Deepak More,Gati Ltd,INV-470433,EWB745167078664,,Partial,29-07-2023,POD pending
2024-04-05,D-4152,OEM-FORD,Brake Pad Type B,1593,BATCH-2022-0004,KA01-5745,Amit Singh,Mahindra Logistics,INV-437428,EWB685783880472,5741.74,Delivered,25-May-2024,On time
2023-01-18,D-2737,OEM-TVS,CV Joint,955,BATCH-2023-0415,GJ01-3460,,Self-transport,INV-166606,EWB103892569908,9786.81,Delivered,14/03/2021,Customer requested reschedule
2023-03-18,D-2881,OEM-SUZUKI,Clutch Plate,618,BATCH-2022-0282,GJ01-1054,Ganesh Waghmare,Gati Ltd,INV-854376,EWB510948131584,7464.09,In Transit,25-Mar-2021,POD pending
18/03/2022,D-2925,OEM-SUZUKI,Wheel Hub Assy,546,BATCH-2021-0308,KA01-7093,Satish Bhosale,Self-transport,INV-740604,EWB773314897213,23355.47,Delayed,12/06/2024,Short delivery – balance next trip
2021-03-03,D-1218,OEM-SUZUKI,ABS Sensor Ring,1465,BATCH-2021-0248,MH04-9277,Pradeep Jadhav,VRL Logistics,INV-862946,EWB999935055527,6582.07,Delayed,11/10/2021,Customer requested reschedule
2021-08-30,D-2321,OEM-FORD,Brake Pad Type B,1858,BATCH-2023-0194,MH14-7507,Amit Singh,Self-transport,INV-313267,EWB696815577021,,Delivered,23/01/2023,POD pending
2022-01-21,D-3695,OEM-TATA,Brake Pad Type B,982,BATCH-2023-0060,MH14-5257,Ravi Kumar,Self-transport,INV-472439,EWB733547209920,3045.2,Delivered,11/19/2024,POD pending
2022-06-06,D-4243,OEM-RENAULT,ABS Sensor Ring,1661,BATCH-2023-0061,KA01-2667,Suresh Patil,Safexpress,INV-607706,EWB611076025752,12496.52,Delivered,13-Mar-2021,Delayed – vehicle breakdown
2022-01-14,D-4117,OEM-HYUNDAI,Brake Pad Type B,1517,BATCH-2021-0091,MH12-3345,Amit Singh,,INV-453575,EWB554681137223,13393.58,Delivered,17/03/2021,Short delivery – balance next trip
2021-01-27,D-3544,OEM-RENAULT,Brake Shoe,346,BATCH-2024-0317,GJ01-1890,,VRL Logistics,INV-249404,EWB578444865162,13871.01,Delivered,14/06/2024,POD pending
2023-02-19,D-1213,OEM-SUZUKI,Brake Disc,1744,BATCH-2024-0433,KA01-7370,Nitin Sawant,Delhivery,INV-128175,,2260.26,Delivered,11/17/2024,On time
02/06/2021,D-4388,OEM-HONDA,Brake Pad Type A,281,BATCH-2023-0283,KA01-5882,Suresh Patil,Mahindra Logistics,INV-356645,EWB612419410444,17484.76,Delivered,29-Jul-2024,Customer requested reschedule
2023-02-02,D-4423,OEM-HONDA,Brake Disc,420,BATCH-2024-0194,KA01-3263,Satish Bhosale,BlueDart,INV-276982,EWB447991640330,18723.71,Delayed,25-Mar-2021,Short delivery – balance next trip
2024-02-10,D-2520,OEM-MARUTI,Brake Pad Type B,1740,BATCH-2024-0057,MH13-5736,Amit Singh,Delhivery,INV-944728,EWB667458301693,10293.99,,05/06/2021,Customer not available
2022-07-25,D-3450,OEM-BAJAJ,Brake Shoe,1043,BATCH-2023-0106,MH04-5461,Vijay Chavan,BlueDart,INV-760247,EWB536643478865,23874.03,Delivered,01/01/2021,POD pending
2024-06-02,D-2205,OEM-HYUNDAI,CV Joint,431,BATCH-2023-0444,TN07-2035,,TCI Express,INV-361682,EWB104861824970,5777.45,,2021-10-02,Customer not available
2022-12-04,D-4056,OEM-RENAULT,Brake Pad Type B,478,BATCH-2023-0298,MH13-3233,Amit Singh,Safexpress,INV-332412,EWB634654212880,20784.43,Delayed,28-Jun-2021,On time
